player_name,team,pos,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td
Josh Johnson,WAS,QB,36.3,0.2,0.2,0.0,0.0,0,0,0
Case Keenum,CHI,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Trevor Siemian,TEN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
C.J. Beathard,DET,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Mike White,CAR,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
John Wolford,MIN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Brett Rypien,IND,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Easton Stick,ATL,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Tyler Huntley,BAL,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Shane Buechele,BUF,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Sam Ehlinger,DEN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Sean Clifford,CIN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Will Levis,TEN,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Kyle McCord,PHI,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Stetson Bennett IV,LAR,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Bailey Zappe,CLE,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Skylar Thompson,PIT,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Chris Oladokun,KC,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Jake Haener,NO,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Clayton Tune,GB,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Riley Leonard,IND,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Tommy DeVito,NE,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Kurtis Rourke,SF,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
Cam Miller,LV,QB,0.0,0.0,0.0,0.0,0.0,0,0,0
